elevation;latitude;longitude;speedD;speedE;speedN;timestamp;run;tf_id;device;athlete;start_date;activity_id;activity_name;type;sport;discipline;discipline_from_name;sport_from_name;run_athlete;run_date_athlete;speed_kmh
633.132;-54.716421;-67.9754327;4.005;0.497;-9.096;20240907T143523900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.82396
632.758;-54.7164293;-67.9754296;3.975;1.642;-9.253;20240907T143524000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;36.73332
632.439;-54.7164383;-67.9754254;3.894;2.56;-9.815;20240907T143524100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.11436
632.101;-54.7164471;-67.9754208;3.839;2.871;-9.809;20240907T143524200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.30372
631.668;-54.7164553;-67.9754163;3.89;2.857;-9.334;20240907T143524300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.8288
631.15;-54.7164636;-67.9754117;4.024;2.863;-9.323;20240907T143524400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.98072
630.501;-54.716472;-67.9754071;4.28;2.813;-9.483;20240907T143524500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.79972
629.98;-54.716481;-67.9754054;4.383;1.492;-9.892;20240907T143524600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.31884
629.545;-54.71649;-67.9754079;4.385;-0.817;-10.011;20240907T143524700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.45492
629.26;-54.7164986;-67.9754132;4.231;-2.689;-9.644;20240907T143524800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.12912
628.973;-54.7165065;-67.9754216;4.092;-4.663;-8.999;20240907T143524900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.34872
628.602;-54.7165149;-67.9754303;4.056;-5.391;-9.223;20240907T143525000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.13756
628.22;-54.7165236;-67.9754392;4.035;-5.682;-9.603;20240907T143525100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.71472
627.82;-54.7165312;-67.9754474;4.032;-5.351;-8.723;20240907T143525200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.59676
627.295;-54.716539;-67.9754564;4.159;-5.794;-8.764;20240907T143525300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.67784
626.667;-54.7165473;-67.9754653;4.38;-5.875;-9.174;20240907T143525400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.2694
626.138;-54.7165566;-67.9754713;4.472;-4.334;-10.174;20240907T143525500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.94296
625.712;-54.7165659;-67.9754731;4.445;-1.876;-10.365;20240907T143525600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.15844
625.455;-54.7165749;-67.9754727;4.249;-0.131;-10.096;20240907T143525700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.4362
625.221;-54.7165844;-67.9754712;4.054;0.827;-10.37;20240907T143525800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.19364
624.879;-54.716594;-67.9754688;3.992;1.396;-10.633;20240907T143525900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.19516
624.415;-54.7166031;-67.9754658;4.056;1.772;-10.292;20240907T143526000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;40.33224
623.847;-54.7166128;-67.9754637;4.225;1.377;-10.759;20240907T143526100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.90616
623.351;-54.7166227;-67.9754638;4.304;0.26;-10.978;20240907T143526200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.45984
623.052;-54.7166327;-67.9754671;4.169;-1.51;-11.021;20240907T143526300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.7662
622.814;-54.7166422;-67.9754718;3.983;-2.555;-10.648;20240907T143526400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.94756
622.471;-54.7166513;-67.9754778;3.93;-3.585;-10.151;20240907T143526500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.25744
622.017;-54.7166608;-67.9754842;3.999;-4.061;-10.474;20240907T143526600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;42.92748
621.516;-54.7166704;-67.9754907;4.11;-4.203;-10.775;20240907T143526700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;44.18748
620.949;-54.7166803;-67.9754973;4.277;-4.323;-11.033;20240907T143526800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;45.35244
620.42;-54.7166899;-67.9755027;4.382;-3.741;-10.928;20240907T143526900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;44.47404
619.904;-54.7166999;-67.9755059;4.464;-2.521;-11.239;20240907T143527000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;44.47116
619.583;-54.716711;-67.9755055;4.33;-0.349;-12.03;20240907T143527100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;46.04508
619.377;-54.7167219;-67.9755024;4.088;1.632;-11.924;20240907T143527200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;45.7578
619.186;-54.7167333;-67.9754992;3.86;2.079;-12.386;20240907T143527300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;47.30076
618.844;-54.7167446;-67.9754962;3.811;1.981;-12.503;20240907T143527400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;47.59272
618.455;-54.7167559;-67.9754926;3.818;2.246;-12.526;20240907T143527500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;47.83032
617.979;-54.7167669;-67.975489;3.914;2.244;-12.371;20240907T143527600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;47.4048
617.521;-54.7167776;-67.975486;3.983;1.955;-12.115;20240907T143527700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;46.44684
617.216;-54.7167888;-67.9754856;3.889;0.653;-12.345;20240907T143527800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;46.6542
617.07;-54.7167998;-67.9754885;3.64;-1.207;-12.054;20240907T143527900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;45.53748
616.894;-54.7168102;-67.9754913;3.443;-1.579;-11.658;20240907T143528000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;44.12844
616.498;-54.7168208;-67.975494;3.497;-1.755;-11.816;20240907T143528100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;44.8092
616.092;-54.7168316;-67.975497;3.555;-1.9;-11.935;20240907T143528200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;45.35028
615.766;-54.7168419;-67.9754978;3.517;-0.833;-11.611;20240907T143528300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;43.7778
615.48;-54.7168517;-67.9754968;3.437;0.336;-11.016;20240907T143528400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.56056
615.34;-54.7168614;-67.9754935;3.216;1.817;-10.823;20240907T143528500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;41.1696
615.206;-54.7168705;-67.9754901;3.01;2.227;-10.264;20240907T143528600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;39.33216
